batting_team,batsman,Total_Runs,No_Of_Innings,Batting_Average
Gujarat Lions,ER Dwivedi,24.0,2,12.0
Gujarat Lions,Ishan Kishan,42.0,3,14.0
Gujarat Lions,JP Faulkner,77.0,3,25.666666666666668
Gujarat Lions,KD Karthik,335.0,14,23.928571428571427
Gujarat Lions,P Kumar,24.0,4,6.0
Gujarat Lions,RA Jadeja,191.0,9,21.22222222222222
Gujarat Lions,SK Raina,399.0,15,26.6
Kings XI Punjab,AB Barath,42.0,2,21.0
Kings XI Punjab,AC Gilchrist,849.0,29,29.275862068965516
Kings XI Punjab,AD Mascarenhas,19.0,2,9.5
Kings XI Punjab,AM Nayar,106.0,7,15.142857142857142
Kings XI Punjab,AR Patel,379.0,17,22.294117647058822
Kings XI Punjab,Anureet Singh,18.0,3,6.0
Kings XI Punjab,Azhar Mahmood,382.0,17,22.470588235294116
Kings XI Punjab,B Lee,56.0,5,11.2
Kings XI Punjab,Bipul Sharma,104.0,3,34.666666666666664
Kings XI Punjab,CA Pujara,125.0,4,31.25
Kings XI Punjab,DA Miller,1480.0,38,38.94736842105263
Kings XI Punjab,DJ Hussey,695.0,25,27.8
Kings XI Punjab,DPMD Jayawardene,843.0,20,42.15
Kings XI Punjab,F Behardien,14.0,1,14.0
Kings XI Punjab,GJ Bailey,516.0,18,28.666666666666668
Kings XI Punjab,GJ Maxwell,877.0,33,26.575757575757574
Kings XI Punjab,Gurkeerat Singh,342.0,16,21.375
Kings XI Punjab,HM Amla,157.0,6,26.166666666666668
Kings XI Punjab,Harmeet Singh,18.0,1,18.0
Kings XI Punjab,IK Pathan,603.0,22,27.40909090909091
